product_id,category,brand,series,size,unit_price
P0001,乗用車用タイヤ,GRIPMAX,HEAVY DUTY,165/70R13,12300
P0002,トラック用タイヤ,GRIPMAX,PROシリーズ,225/55R18,18800
P0003,乗用車用タイヤ,GRIPMAX,PROシリーズ,165/70R13,12600
P0004,冬用タイヤ,GRIPMAX,ECOシリーズ,265/70R16,26300
P0005,冬用タイヤ,ROADLINE,ECOシリーズ,215/45R17,24300
P0006,バス用タイヤ,GRIPMAX,ECOシリーズ,265/70R16,18800
P0007,バス用タイヤ,SNOWFORCE,ECOシリーズ,165/70R13,16000
P0008,乗用車用タイヤ,GRIPMAX,WINTER MASTER,155/65R14,16800
P0009,バス用タイヤ,SNOWFORCE,PROシリーズ,265/70R16,20100
P0010,冬用タイヤ,GRIPMAX,WINTER MASTER,155/65R14,23100
P0011,バス用タイヤ,SNOWFORCE,ECOシリーズ,265/70R16,7300
P0012,乗用車用タイヤ,TURBOWHEEL,HEAVY DUTY,155/65R14,12600
P0013,乗用車用タイヤ,ROADLINE,HEAVY DUTY,215/45R17,25800
P0014,バス用タイヤ,TURBOWHEEL,HEAVY DUTY,195/65R15,11900
P0015,バス用タイヤ,GRIPMAX,ECOシリーズ,225/55R18,28900
P0016,トラック用タイヤ,TURBOWHEEL,WINTER MASTER,215/45R17,13800
P0017,冬用タイヤ,TURBOWHEEL,HEAVY DUTY,155/65R14,12500
P0018,乗用車用タイヤ,SNOWFORCE,WINTER MASTER,195/65R15,7200
P0019,トラック用タイヤ,SNOWFORCE,ECOシリーズ,265/70R16,21400
P0020,産業用タイヤ,ROADLINE,ECOシリーズ,195/65R15,9600
P0021,トラック用タイヤ,SNOWFORCE,WINTER MASTER,225/55R18,18100
P0022,バス用タイヤ,TURBOWHEEL,ECOシリーズ,225/55R18,21200
P0023,乗用車用タイヤ,GRIPMAX,PROシリーズ,165/70R13,25600
P0024,トラック用タイヤ,ROADLINE,PROシリーズ,215/45R17,17500
P0025,冬用タイヤ,ROADLINE,HEAVY DUTY,225/55R18,5400
P0026,乗用車用タイヤ,SNOWFORCE,HEAVY DUTY,155/65R14,14600
P0027,産業用タイヤ,TURBOWHEEL,WINTER MASTER,155/65R14,28700
P0028,バス用タイヤ,TURBOWHEEL,PROシリーズ,265/70R16,14800
P0029,冬用タイヤ,TURBOWHEEL,ECOシリーズ,195/65R15,30000
P0030,トラック用タイヤ,GRIPMAX,HEAVY DUTY,215/45R17,5600
P0031,乗用車用タイヤ,SNOWFORCE,HEAVY DUTY,165/70R13,6900
P0032,トラック用タイヤ,GRIPMAX,PROシリーズ,265/70R16,20900
P0033,乗用車用タイヤ,TURBOWHEEL,ECOシリーズ,265/70R16,20600
P0034,冬用タイヤ,TURBOWHEEL,HEAVY DUTY,225/55R18,24900
P0035,産業用タイヤ,TURBOWHEEL,ECOシリーズ,265/70R16,15200
P0036,産業用タイヤ,SNOWFORCE,WINTER MASTER,225/55R18,19800
P0037,乗用車用タイヤ,TURBOWHEEL,ECOシリーズ,155/65R14,16100
P0038,乗用車用タイヤ,TURBOWHEEL,ECOシリーズ,155/65R14,7300
P0039,乗用車用タイヤ,TURBOWHEEL,PROシリーズ,155/65R14,15800
P0040,乗用車用タイヤ,TURBOWHEEL,HEAVY DUTY,265/70R16,20900
P0041,トラック用タイヤ,TURBOWHEEL,WINTER MASTER,165/70R13,20500
P0042,産業用タイヤ,TURBOWHEEL,PROシリーズ,155/65R14,26600
P0043,産業用タイヤ,SNOWFORCE,WINTER MASTER,215/45R17,20300
P0044,乗用車用タイヤ,GRIPMAX,PROシリーズ,215/45R17,28900
P0045,バス用タイヤ,GRIPMAX,ECOシリーズ,165/70R13,11200
P0046,冬用タイヤ,ROADLINE,ECOシリーズ,215/45R17,11000
P0047,バス用タイヤ,ROADLINE,ECOシリーズ,155/65R14,19500
P0048,冬用タイヤ,GRIPMAX,PROシリーズ,265/70R16,22700
P0049,乗用車用タイヤ,GRIPMAX,ECOシリーズ,165/70R13,18300
P0050,産業用タイヤ,ROADLINE,ECOシリーズ,215/45R17,6900
P0051,トラック用タイヤ,ROADLINE,PROシリーズ,215/45R17,13700
P0052,産業用タイヤ,SNOWFORCE,WINTER MASTER,265/70R16,28900
P0053,冬用タイヤ,ROADLINE,ECOシリーズ,165/70R13,14700
P0054,トラック用タイヤ,GRIPMAX,PROシリーズ,265/70R16,15300
P0055,乗用車用タイヤ,GRIPMAX,WINTER MASTER,225/55R18,22400
P0056,トラック用タイヤ,GRIPMAX,PROシリーズ,165/70R13,7200
P0057,冬用タイヤ,GRIPMAX,ECOシリーズ,215/45R17,8900
P0058,冬用タイヤ,TURBOWHEEL,PROシリーズ,225/55R18,7700
P0059,産業用タイヤ,SNOWFORCE,HEAVY DUTY,165/70R13,26900
P0060,バス用タイヤ,TURBOWHEEL,HEAVY DUTY,215/45R17,9300
P0061,バス用タイヤ,ROADLINE,HEAVY DUTY,155/65R14,5300
P0062,産業用タイヤ,GRIPMAX,PROシリーズ,225/55R18,12000
P0063,冬用タイヤ,SNOWFORCE,ECOシリーズ,195/65R15,7300
P0064,トラック用タイヤ,SNOWFORCE,HEAVY DUTY,165/70R13,19400
P0065,冬用タイヤ,SNOWFORCE,PROシリーズ,265/70R16,23200
P0066,バス用タイヤ,GRIPMAX,ECOシリーズ,195/65R15,8800
P0067,乗用車用タイヤ,TURBOWHEEL,HEAVY DUTY,195/65R15,24800
P0068,トラック用タイヤ,SNOWFORCE,ECOシリーズ,265/70R16,25800
P0069,バス用タイヤ,ROADLINE,HEAVY DUTY,155/65R14,8000
P0070,産業用タイヤ,SNOWFORCE,PROシリーズ,155/65R14,15900
P0071,トラック用タイヤ,SNOWFORCE,ECOシリーズ,265/70R16,19500
P0072,冬用タイヤ,ROADLINE,PROシリーズ,155/65R14,7500
P0073,トラック用タイヤ,GRIPMAX,HEAVY DUTY,225/55R18,23100
P0074,トラック用タイヤ,ROADLINE,ECOシリーズ,155/65R14,15100
P0075,バス用タイヤ,GRIPMAX,HEAVY DUTY,165/70R13,27300
P0076,トラック用タイヤ,GRIPMAX,HEAVY DUTY,225/55R18,18300
P0077,冬用タイヤ,TURBOWHEEL,ECOシリーズ,165/70R13,10800
P0078,産業用タイヤ,GRIPMAX,ECOシリーズ,265/70R16,15900
P0079,産業用タイヤ,TURBOWHEEL,HEAVY DUTY,165/70R13,28000
P0080,乗用車用タイヤ,ROADLINE,PROシリーズ,215/45R17,12300
P0081,トラック用タイヤ,ROADLINE,HEAVY DUTY,195/65R15,12500
P0082,トラック用タイヤ,GRIPMAX,ECOシリーズ,215/45R17,15800
P0083,バス用タイヤ,GRIPMAX,HEAVY DUTY,195/65R15,26000
P0084,冬用タイヤ,ROADLINE,HEAVY DUTY,155/65R14,8800
P0085,バス用タイヤ,TURBOWHEEL,HEAVY DUTY,155/65R14,8600
P0086,冬用タイヤ,ROADLINE,HEAVY DUTY,265/70R16,15300
P0087,産業用タイヤ,GRIPMAX,WINTER MASTER,225/55R18,11200
P0088,バス用タイヤ,GRIPMAX,WINTER MASTER,155/65R14,22000
P0089,冬用タイヤ,TURBOWHEEL,HEAVY DUTY,215/45R17,7300
P0090,バス用タイヤ,SNOWFORCE,PROシリーズ,265/70R16,14800
P0091,冬用タイヤ,SNOWFORCE,WINTER MASTER,195/65R15,18200
P0092,バス用タイヤ,TURBOWHEEL,ECOシリーズ,215/45R17,26800
P0093,産業用タイヤ,TURBOWHEEL,HEAVY DUTY,215/45R17,23000
P0094,乗用車用タイヤ,SNOWFORCE,HEAVY DUTY,165/70R13,19100
P0095,冬用タイヤ,SNOWFORCE,WINTER MASTER,215/45R17,19500
P0096,トラック用タイヤ,ROADLINE,ECOシリーズ,265/70R16,7800
P0097,バス用タイヤ,SNOWFORCE,PROシリーズ,165/70R13,27000
P0098,バス用タイヤ,TURBOWHEEL,ECOシリーズ,165/70R13,5800
P0099,乗用車用タイヤ,TURBOWHEEL,WINTER MASTER,225/55R18,7400
P0100,産業用タイヤ,ROADLINE,ECOシリーズ,265/70R16,27800
